match_id,team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_home_away,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ball_remaining,ground_city,ground,ground_country,match_date
ODI # 1317,Sri Lanka,Pakistan,288,173,10,10,away,away,Sri Lanka,115,runs,Day,Standard Bank International One-Day Series,Marvan Atapattu,Sri Lanka,"Willowmoore Park, Benoni",Pakistan,field first,,Benoni,Benoni,South Africa,15-04-1998
ODI # 1318,Pakistan,South Africa,145,149,10,3,away,home,South Africa,7,wickets,Day,Standard Bank International One-Day Series,Jacques Kallis,South Africa,Centurion Park,Pakistan,bat first,87,Centurion,Centurion,South Africa,17-04-1998
ODI # 1319,India,New Zealand,220,205,9,10,away,away,India,15,runs,Day and night,Coca-Cola Cup,Ajit Agarkar,India,Sharjah Cricket Association Stadium,India,bat first,,Sharjah,Sharjah,United Arab Emirates,17-04-1998
ODI # 1320,New Zealand,Australia,159,160,10,4,away,away,Australia,6,wickets,Day and night,Coca-Cola Cup,Damien Fleming,Australia,Sharjah Cricket Association Stadium,New Zealand,bat first,79,Sharjah,Sharjah,United Arab Emirates,18-04-1998
ODI # 1321,Sri Lanka,South Africa,105,106,10,5,away,home,South Africa,5,wickets,Day,Standard Bank International One-Day Series,Roger Telemachus,South Africa,"Springbok Park, Bloemfontein",South Africa,field first,141,Bloemfontein,Bloemfontein,South Africa,19-04-1998
ODI # 1322,Australia,India,264,206,9,10,away,away,Australia,58,runs,Day and night,Coca-Cola Cup,Sachin Tendulkar,India,Sharjah Cricket Association Stadium,Australia,bat first,,Sharjah,Sharjah,United Arab Emirates,19-04-1998
ODI # 1323,India,New Zealand,181,183,10,6,away,away,New Zealand,4,wickets,Day and night,Coca-Cola Cup,Craig McMillan,New Zealand,Sharjah Cricket Association Stadium,India,bat first,6,Sharjah,Sharjah,United Arab Emirates,20-04-1998
ODI # 1324,New Zealand,Australia,259,261,5,5,away,away,Australia,5,wickets,Day and night,Coca-Cola Cup,Tom Moody,Australia,Sharjah Cricket Association Stadium,New Zealand,bat first,13,Sharjah,Sharjah,United Arab Emirates,21-04-1998
ODI # 1326,Pakistan,South Africa,114,115,10,1,away,home,South Africa,9,wickets,Day,Standard Bank International One-Day Series,Lance Klusener,South Africa,"Newlands, Cape Town",South Africa,field first,134,Cape Town,Cape Town,South Africa,23-04-1998
ODI # 1327,Australia,India,272,275,9,4,away,away,India,6,wickets,Day and night,Coca-Cola Cup,Sachin Tendulkar,India,Sharjah Cricket Association Stadium,India,field first,9,Sharjah,Sharjah,United Arab Emirates,24-04-1998
ODI # 1328,Bangladesh,India,184,185,9,5,away,home,India,5,wickets,Day and night,Coca-Cola Triangular Series,Ajay Jadeja,India,"Punjab Cricket Association Stadium, Mohali, Chandigarh",India,field first,28,Mohali,Mohali,India,14-05-1998
ODI # 1329,Kenya,Bangladesh,236,237,10,4,away,away,Bangladesh,6,wickets,Day and night,Coca-Cola Triangular Series,Mohammad Rafique,Bangladesh,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",Kenya,bat first,12,Hyderabad (Deccan),Hyderabad,India,17-05-1998
ODI # 1330,Kenya,India,223,224,9,6,away,home,India,4,wickets,Day and night,Coca-Cola Triangular Series,Gagan Khoda,India,"M Chinnaswamy Stadium, Bangalore",India,field first,18,Bengaluru,Bengaluru,India,20-05-1998
